time,acc_x,acc_y,acc_z,vel_x,vel_y,vel_z,pos_x,pos_y,pos_z,rad_vel_x,rad_vel_y,rad_vel_z,rad_gyro_x,rad_gyro_y,rad_gyro_z,rad_mag_x,rad_mag_y,rad_mag_z
1.255,0.199,-0.121,1.006,0.000,0.000,0.000,0.000,0.000,0.000,0.155,0.061,0.016,-0.148,-0.111,-1.167,-0.148,-0.111,-1.167,1.004,-0.662
1.284,0.384,0.097,1.189,0.000,0.000,0.000,0.000,0.000,0.000,0.215,-0.057,-0.001,-0.153,-0.111,-1.166,-0.153,-0.111,-1.166,1.004,-0.662
1.312,0.281,-0.019,-0.144,0.000,0.000,0.000,0.000,0.000,0.000,0.318,-0.088,0.028,-0.163,-0.116,-1.150,-0.163,-0.116,-1.150,1.004,-0.662
1.339,0.244,-0.264,0.063,0.000,0.000,0.000,0.000,0.000,0.000,0.336,0.061,-0.039,-0.167,-0.113,-1.145,-0.167,-0.113,-1.145,1.004,-0.662
1.365,0.485,-0.337,0.821,0.000,0.000,0.000,0.000,0.000,0.000,0.048,0.294,-0.022,-0.172,-0.109,-1.159,-0.172,-0.109,-1.159,1.004,-0.662
1.392,0.601,-0.285,0.887,0.000,0.000,0.000,0.000,0.000,0.000,0.136,0.101,-0.001,-0.168,-0.101,-1.169,-0.168,-0.101,-1.169,1.004,-0.662
1.417,0.576,-0.342,0.370,0.000,0.000,0.000,0.000,0.000,0.000,0.293,-0.034,-0.056,-0.173,-0.098,-1.178,-0.173,-0.098,-1.178,1.004,-0.662
1.443,0.520,-0.384,0.437,0.000,0.000,0.000,0.000,0.000,0.000,0.302,0.046,-0.042,-0.181,-0.098,-1.183,-0.181,-0.098,-1.183,1.004,-0.662
1.469,0.186,-0.334,-0.213,0.000,0.000,0.000,0.000,0.000,0.000,0.258,0.253,0.024,-0.184,-0.091,-1.188,-0.184,-0.091,-1.188,1.004,-0.662
1.494,0.082,-0.440,0.429,0.000,0.000,0.000,0.000,0.000,0.000,0.088,0.189,0.017,-0.190,-0.080,-1.191,-0.190,-0.080,-1.191,1.004,-0.662
1.520,0.318,-0.553,0.650,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.077,-0.010,-0.192,-0.079,-1.187,-0.192,-0.079,-1.187,1.004,-0.662
1.546,-0.011,-0.645,0.031,0.000,0.000,0.000,0.000,0.000,0.000,0.301,0.162,0.088,-0.193,-0.074,-1.186,-0.193,-0.074,-1.186,1.004,-0.662
1.572,-0.347,-0.657,-0.346,0.000,0.000,0.000,0.000,0.000,0.000,0.271,0.292,0.148,-0.200,-0.072,-1.181,-0.200,-0.072,-1.181,1.004,-0.662
1.598,-0.093,-0.608,0.401,0.000,0.000,0.000,0.000,0.000,0.000,0.130,0.304,0.236,-0.209,-0.057,-1.183,-0.209,-0.057,-1.183,1.004,-0.662
1.624,0.068,-0.376,0.606,0.000,0.000,0.000,0.000,0.000,0.000,0.180,0.073,0.282,-0.208,-0.052,-1.194,-0.208,-0.052,-1.194,1.004,-0.662
1.649,-0.133,-0.082,0.226,0.000,0.000,0.000,0.000,0.000,0.000,0.321,0.142,0.337,-0.213,-0.052,-1.185,-0.213,-0.052,-1.185,1.004,-0.662
1.673,-0.714,-0.010,-0.350,0.000,0.000,0.000,0.000,0.000,0.000,0.381,0.274,0.348,-0.224,-0.050,-1.180,-0.224,-0.050,-1.180,1.004,-0.662
1.698,-1.172,-0.170,-0.891,0.000,0.000,0.000,0.000,0.000,0.000,0.432,0.261,0.255,-0.251,-0.040,-1.165,-0.251,-0.040,-1.165,1.004,-0.662
1.723,-0.776,0.130,-0.109,0.000,0.000,0.000,0.000,0.000,0.000,0.391,0.053,0.151,-0.260,-0.041,-1.149,-0.260,-0.041,-1.149,1.004,-0.662
1.748,-0.381,0.105,0.245,0.000,0.000,0.000,0.000,0.000,0.000,0.271,-0.341,0.006,-0.268,-0.046,-1.156,-0.268,-0.046,-1.156,1.299,-1.319
1.773,-0.569,-0.384,-0.397,0.000,0.000,0.000,0.000,0.000,0.000,0.288,-0.197,-0.109,-0.275,-0.053,-1.143,-0.275,-0.053,-1.143,1.299,-1.319
1.798,-0.401,-0.573,0.107,0.000,0.000,0.000,0.000,0.000,0.000,0.116,-0.083,-0.176,-0.287,-0.054,-1.147,-0.287,-0.054,-1.147,1.299,-1.319
1.824,0.380,-0.364,1.404,0.000,0.000,0.000,0.000,0.000,0.000,-0.268,-0.341,-0.165,-0.281,-0.053,-1.180,-0.281,-0.053,-1.180,1.299,-1.319
1.848,0.618,-0.558,1.563,0.000,0.000,0.000,0.000,0.000,0.000,-0.224,-0.351,-0.227,-0.277,-0.060,-1.191,-0.277,-0.060,-1.191,1.299,-1.319
1.872,-0.152,-0.916,0.332,0.000,0.000,0.000,0.000,0.000,0.000,-0.090,-0.073,-0.244,-0.268,-0.059,-1.206,-0.268,-0.059,-1.206,1.299,-1.319
1.898,-0.549,-0.840,-0.332,0.000,0.000,0.000,0.000,0.000,0.000,-0.016,0.264,-0.206,-0.269,-0.047,-1.211,-0.269,-0.047,-1.211,1.299,-1.319
1.922,-0.449,-0.594,-0.526,0.000,0.000,0.000,0.000,0.000,0.000,-0.028,0.479,-0.105,-0.270,-0.037,-1.212,-0.270,-0.037,-1.212,1.299,-1.319
1.947,-0.551,-0.465,-0.280,0.000,0.000,0.000,0.000,0.000,0.000,-0.033,0.462,0.057,-0.271,-0.023,-1.200,-0.271,-0.023,-1.200,1.299,-1.319
1.971,-0.425,-0.395,-0.126,0.000,0.000,0.000,0.000,0.000,0.000,0.075,0.326,0.034,-0.271,-0.015,-1.203,-0.271,-0.015,-1.203,1.299,-1.319
1.996,-0.634,-0.086,-0.440,0.000,0.000,0.000,0.000,0.000,0.000,0.241,0.235,-0.048,-0.281,-0.001,-1.205,-0.281,-0.001,-1.205,1.299,-1.319
